Product_Index,Profit_Margin,Promotional_Input,Fixed_Costs
15796,0.189,12559,378.59
15797,0.049,4368,552.38
15798,0.154,4797,785.81
15799,0.062,16114,945.05
15800,0.027,14718,1205.82
15801,0.031,2792,424.5
15802,0.025,12053,1421.81
15803,0.045,4476,493.56
15804,0.045,4417,474.67
15805,0.128,2645,539.66
15806,0.02,15755,1405.03
15807,0.07,4072,1346.23
15808,0.032,2854,77.84
15809,0.039,5662,565.3
15810,0.027,7514,602.76
15811,0.193,3708,1057.41
15812,0.037,12694,1137.63
15813,0.082,10524,997.47
15814,0.009,7456,514.17
15815,0.038,5212,557.46
15816,0.042,14224,1186.78
15817,0.032,8970,1223.49
15818,0.018,17920,1591.16
15819,0.277,2625,848.89
15820,0.2,11314,1288.53
15821,0.035,8973,995.58
15822,0.269,9577,198.65
15823,0.061,9070,580.95
15824,0.035,9666,1040.77
15825,0.049,4600,507.02
15826,0.053,7783,917.69
15827,0.049,14226,1417.78
15828,0.037,10146,1282.26
15829,0.045,5971,685.49
15830,0.192,14490,1636.98
15831,0.028,18589,2070.08
15832,0.029,13951,1024.22
15833,0.186,13312,447.72
15834,0.165,2990,349.99
15835,0.022,6299,1084.72
15836,0.036,13997,1461.86
15837,0.028,14472,1611.2
15838,0.11,5380,1491.79
15839,0.088,5757,945.01
15840,0.043,11395,908.98
54958,0.033,7272,778.94
54959,0.013,17955,1505.57
54960,0.03,4631,538.97
54961,0.052,7172,1024.27
54962,0.033,10312,1361.99
54963,0.037,19663,1775.82
54964,0.035,9906,899.44
54965,0.286,18159,936.66
54966,0.041,19631,2096.36
54967,0.039,17462,1490.45
54968,0.053,9080,902.42
54969,0.027,8099,768.15
54970,0.04,15916,1314.79
54971,0.08,8083,150.38
54972,0.04,10223,965.63
54973,0.033,5940,798.04
54974,0.033,4456,548.87
54975,0.164,8788,251.61
54976,0.251,3711,861.04
54977,0.076,12280,232.22
54978,0.179,19052,888.27
54979,0.031,17531,2016.05
54980,0.043,13089,1453.57
9497,0.2,14411,185.08
9498,0.142,16233,809.19
9499,0.236,16887,776.93
9500,0.257,3005,397.73
9501,0.046,19400,2444.51
9502,0.027,11860,1105.92
9503,0.031,11070,1127.61
9504,0.045,10388,1570.64
9505,0.031,19156,1772.3
9506,0.015,19135,1876.21
9507,0.029,15609,1730.8
9508,0.277,17363,1183.74
9509,0.039,17923,1871.95
9510,0.04,15823,2130.19
9511,0.033,18845,1884.9
9512,0.234,9547,1397.27
9513,0.082,12515,1141.11
9514,0.033,1234,397.32
9515,0.294,15562,1712.33
9516,0.072,18932,1258.1
9517,0.16,8480,616.04
9518,0.023,5213,673.54
9519,0.03,11293,1376.27
9520,0.043,2673,479.91
9521,0.051,3100,577.51
9522,0.021,12849,1661.34
9523,0.033,19199,2502.86
9524,0.031,4841,630.51
9525,0.044,11197,1422.49
9526,0.032,9016,1073.13
9527,0.001,8011,2036.21
9528,0.041,5493,860.04
9529,0.033,18058,1755.65
9530,0.028,9578,953.43
9531,0.042,3158,639.36
9532,0.16,3064,1170.38
9533,0.048,4253,734.62
9534,0.026,13828,1356.29
9535,0.037,2401,531.41
9536,0.044,16193,2171.37
9537,0.046,13096,1929.53
9538,0.032,5214,628.84
9539,0.04,12023,1362.23
9540,0.047,12950,1650.23
9541,0.049,11704,1259.95
9542,0.286,11343,1865.99
9543,0.295,12867,357.57
9544,0.027,3745,758.0
9545,0.072,4866,1940.61
9546,0.269,12956,716.76
66787,0.045,5820,316.0
66788,0.039,12001,767.61
66789,0.296,14907,714.55
66790,0.034,12669,856.73
66791,0.059,16916,814.55
66792,0.042,11878,700.46
66793,0.028,3985,248.9
66794,0.027,9112,483.79
66795,0.039,9467,541.02
66796,0.03,19931,924.4
66797,0.306,1336,634.53
66798,0.131,11165,716.17
66799,0.05,13768,802.6
66800,0.244,4968,224.69
66801,0.065,1910,630.67
66802,0.265,19380,445.25
66803,0.026,16632,912.6
66804,0.007,17279,726.67
66805,0.034,4129,293.4
66806,0.038,6447,320.69
66807,0.052,7129,493.77
66808,0.135,6850,867.21
66809,0.236,8446,929.77
66810,0.017,12949,710.7
66811,0.024,9519,502.7
66812,0.048,1314,206.53
66813,0.053,12737,577.48
66814,0.031,2134,172.63
66815,0.042,11938,820.35
66816,0.059,16588,927.2
66817,0.04,9347,571.66
66818,0.186,6592,576.77
62018,0.212,17862,536.29
62019,0.017,1515,56.95
62020,0.017,13478,1603.34
62021,0.185,2191,2240.23
62022,0.022,11860,1461.67
62023,0.036,14448,2342.08
62024,0.014,7297,966.46
62025,0.041,17655,2062.07
62026,0.28,9334,2316.12
62027,0.034,7008,1082.68
62028,0.084,8987,962.95
62029,0.03,4332,807.97
62030,0.241,1787,1759.18
62031,0.061,7222,1392.24
62032,0.013,10873,1451.61
62033,0.048,18006,2623.11
62034,0.101,4676,777.98
62035,0.036,3572,551.75
62036,0.023,7915,1246.13
62037,0.037,6033,824.36
62038,0.039,8788,1093.3
62039,0.024,16689,2599.66
62040,0.02,12452,1376.31
62041,0.014,5712,771.32
62042,0.104,1066,509.08
62043,0.012,16855,1932.86
62044,0.08,13478,912.26
62045,0.035,8533,1324.73
62046,0.129,16103,1812.51
62047,0.107,5616,2153.67
62048,0.022,14277,1649.54
62049,0.037,18524,2108.99
62050,0.037,6730,958.36
62051,0.069,11724,836.8
62052,0.049,12772,1578.12
62053,0.01,17268,2507.7
62054,0.029,13940,1895.52
62055,0.015,17932,1996.46
62056,0.01,15643,2194.75
62057,0.03,1198,537.81
62058,0.043,17955,1975.03
51892,0.2,11932,207.55
51893,0.023,8435,856.81
51894,0.034,2548,435.87
51895,0.03,6065,630.0
51896,0.014,4407,575.55
51897,0.03,1639,409.61
51898,0.3,1172,1006.19
51899,0.029,6666,722.34
51900,0.037,5354,530.79
51901,0.026,11109,1122.02
51902,0.048,3886,397.94
51903,0.025,3164,412.54
51904,0.239,4945,1114.47
51905,0.125,11401,167.46
51906,0.005,8746,763.3
51907,0.028,12975,1443.39
51908,0.23,19974,256.96
51909,0.02,8754,685.93
51910,0.035,16596,1428.97
51911,0.038,6185,806.2
51912,0.166,2093,308.0
51913,0.012,4880,580.41
51914,0.022,11686,1100.85
51915,0.286,11771,819.51
51916,0.051,11680,1052.83
51917,0.043,3785,454.36
51918,0.043,15799,1323.96
51919,0.014,17280,1420.87
51920,0.043,7539,710.81
51921,0.143,18958,216.2
51922,0.023,17016,1818.56
51923,0.03,15730,1284.27
51924,0.072,11565,680.5
51925,0.031,9060,900.1
51926,0.03,4990,588.73
68074,0.019,9071,263.42
68075,0.038,16540,644.83
68076,0.028,3908,187.81
68077,0.012,5712,240.1
68078,0.263,13190,493.64
68079,0.297,11150,400.6
68080,0.025,5491,200.7
68081,0.033,14919,465.44
68082,0.056,15168,566.67
68083,0.195,9593,372.39
68084,0.051,18358,477.49
68085,0.022,17607,460.96
68086,0.034,5613,169.77
68087,0.027,12426,341.94
68088,0.047,17609,574.61
68089,0.044,9183,285.58
68090,0.024,18725,765.09
68091,0.035,9401,287.15
68092,0.173,4727,43.01
68093,0.079,14703,408.26
68094,0.047,11218,340.85
68095,0.204,1393,553.51
68096,0.267,16992,392.0
68097,0.031,10035,302.56
68098,0.053,10716,473.6
68099,0.041,9795,293.15
82201,0.049,2975,233.94
82202,0.026,4216,333.06
82203,0.128,15267,136.91
82204,0.029,10581,594.49
82205,0.027,5515,350.57
82206,0.042,13048,683.34
82207,0.049,10776,522.12
82208,0.033,3963,251.56
82209,0.02,7786,469.97
82210,0.023,14866,979.94
82211,0.019,7200,546.29
82212,0.028,18360,1023.53
82213,0.108,8345,115.05
82214,0.037,1045,181.51
82215,0.043,2193,285.64
82216,0.032,5512,441.75
82217,0.026,17630,846.54
20221,0.037,10304,425.65
20222,0.032,11426,539.86
20223,0.047,12058,492.21
20224,0.043,12260,431.13
20225,0.172,19563,363.06
20226,0.035,1634,278.76
20227,0.033,11057,423.06
20228,0.25,14345,76.52
20229,0.032,11147,512.73
73770,0.023,17979,1467.55
73771,0.026,1978,946.75
73772,0.034,1730,1399.15
73773,0.029,1056,856.89
73774,0.033,3243,1085.11
73775,0.035,2701,703.94
73776,0.01,18670,1219.18
73777,0.191,9303,1439.03
73778,0.004,16100,1239.71
73779,0.029,13998,1092.97
73780,0.033,10393,653.61
73781,0.025,1947,1469.9
73782,0.002,7553,1216.8
73783,0.05,1757,1297.55
73784,0.041,15866,1340.83
73785,0.227,12580,1289.8
73786,0.016,6651,1017.95
73787,0.239,8273,1264.51
73788,0.117,11033,1079.67
73789,0.033,4535,1397.31
73790,0.033,19677,1350.09
73791,0.023,18488,643.56
73792,0.12,9853,668.4
73793,0.038,1908,643.62
73794,0.18,5617,200.1
73795,0.029,11048,1165.04
73796,0.041,3311,1415.36
73797,0.072,17020,229.78
73798,0.076,18173,782.2
73799,0.013,14585,1449.46
73800,0.02,15017,1356.51
73801,0.041,17555,1089.94
73802,0.031,13552,1321.27
73803,0.043,14337,1092.72
73804,0.128,2885,295.71
73805,0.05,2049,726.17
73806,0.22,11503,347.95
73807,0.035,2161,933.32
73808,0.031,1815,1465.2
73809,0.204,4766,1369.66
73810,0.015,4239,1007.07
73811,0.041,14942,1064.6
73812,0.026,9272,851.16
73813,0.022,1869,1259.56
73814,0.06,6526,1348.19
73815,0.035,8741,831.1
73816,0.024,5694,650.93
73817,0.051,2934,1180.62
73818,0.169,18087,973.36
73819,0.025,17318,980.56
73820,0.03,19907,1200.53
73821,0.022,7159,1114.66
73822,0.11,16719,451.46
73823,0.031,13993,973.39
73824,0.048,14813,1005.74
73825,0.038,2164,1420.63
33031,0.279,8386,204.85
33032,0.042,7862,137.39
33033,0.166,8340,89.97
33034,0.041,10487,189.82
33035,0.031,16061,229.14
33036,0.013,8635,185.06
33037,0.037,15604,297.27
33038,0.01,18427,274.41
33039,0.067,4042,16.88
33040,0.072,18198,232.64
33041,0.248,11386,164.58
33042,0.14,12692,36.21
33043,0.167,16225,59.96
33044,0.027,17693,359.62
33045,0.043,7661,134.99
33046,0.036,11253,192.75
33047,0.05,19261,372.01
33048,0.053,19870,403.54
33049,0.021,12937,279.43
33050,0.044,1794,83.89
33051,0.035,15598,311.92
33052,0.259,7786,199.55
33053,0.039,5014,117.36
33054,0.098,8392,153.99
33055,0.043,13545,235.54
33056,0.018,6353,131.79
33057,0.063,4407,188.76
33058,0.046,18358,272.75
33059,0.044,17053,326.31
33060,0.136,14189,157.13
33061,0.057,12213,250.4
33062,0.238,8248,303.22
33063,0.055,5369,167.54
33064,0.03,9050,149.46
33065,0.013,17848,375.08
33066,0.038,6415,158.6
33067,0.211,16398,172.47
33068,0.223,9115,282.56
33069,0.05,1287,67.51
33070,0.037,4195,97.36
33071,0.009,19376,83.27
33072,0.04,8450,174.34
33073,0.038,3925,96.24
33074,0.023,15515,241.53
33075,0.045,18504,299.76
33076,0.006,6310,79.72
33077,0.024,17830,279.05
33078,0.03,12760,252.23
33079,0.242,15896,274.62
33080,0.032,18105,304.17
33081,0.041,19547,415.72
33082,0.131,11774,157.59
56839,0.042,6272,696.3
56840,-0.005,17532,582.04
56841,0.036,9694,1060.32
56842,0.219,18253,738.41
56843,0.034,4521,521.54
56844,0.019,2300,414.36
56845,0.035,13225,1444.88
56846,0.022,12481,1514.63
56847,0.043,13045,1223.18
56848,0.051,19835,2094.38
56849,0.053,5385,620.59
56850,0.269,15755,322.53
56851,0.046,3824,570.13
56852,0.027,6964,742.46
56853,0.034,18370,2155.87
56854,0.043,4767,805.08
56855,0.036,14576,1374.27
56856,0.064,13268,89.0
56857,0.093,19390,1569.82
56858,0.042,8925,953.01
56859,0.204,4107,1592.04
56860,0.042,9722,1294.44
56861,0.032,18307,1544.95
56862,0.035,19280,1591.78
56863,0.015,8883,884.81
56864,0.025,14453,1286.2
56865,0.184,18197,1674.8
56866,0.02,8618,945.83
56867,0.031,1782,365.69
56868,0.053,15642,1428.83
56869,0.055,8789,930.56
56870,0.032,15002,1430.71
56871,0.023,12981,1237.4
99427,0.02,3241,631.57
99428,0.017,14601,1742.94
99429,0.038,8711,1085.45
99430,0.026,1938,289.04
99431,0.022,5301,911.36
99432,0.303,4970,1544.23
99433,0.03,4999,911.68
99434,0.047,4408,396.79
99435,0.031,14807,1983.43
99436,0.23,9962,2275.97
99437,0.035,17632,2354.59
99438,0.024,14385,2249.74
99439,0.033,6950,999.89
99440,0.266,3926,719.38
99441,0.213,8975,1013.07
99442,0.039,7966,1107.03
99443,0.107,10133,465.93
99444,0.025,7587,1047.49
99445,0.06,6091,829.67
99446,0.036,9985,1301.15
99447,0.012,18061,2425.58
99448,0.04,2561,681.36
99449,0.166,9644,1843.3
99450,0.232,15785,1777.33
99451,0.041,4656,744.99
99452,0.189,17139,838.34
99453,0.039,1209,627.86
99454,0.015,5983,781.45
99455,0.043,8141,1174.72
99456,0.05,11118,1683.86
99457,0.054,17261,2087.72
99458,0.075,4966,663.47
99459,0.048,11069,1446.64
99460,0.031,9818,1321.57
99461,0.262,11918,299.15
99462,0.193,10650,830.09
99463,0.008,2250,1783.35
99464,0.03,5758,827.04
99465,0.032,5363,745.06
99466,0.125,3163,1981.46
99467,0.009,10815,1410.03
99468,0.048,2853,554.45
99469,0.031,18137,2575.62
99470,0.03,2868,550.34
99471,0.046,17565,1920.5
99472,0.218,18897,1520.81
99473,0.22,16568,105.57
99474,0.058,10094,1202.65
99475,0.051,6238,861.53
99476,0.031,8089,934.86
99477,0.214,19940,1146.13
99478,0.038,6280,928.86
99479,0.034,5244,649.48
99480,0.086,3164,1398.54
99481,0.071,16149,713.37
99482,0.126,15088,71.3
99483,0.035,19405,2078.39
99484,0.155,3821,385.68
99485,0.274,11473,899.39
40978,0.013,10217,164.43
40979,0.021,17745,300.18
40980,0.042,18602,370.83
40981,0.035,1605,72.44
40982,0.007,19054,130.94
40983,0.291,14003,64.42
40984,0.048,11489,279.55
40985,0.054,18661,302.8
40986,0.188,17782,326.16
40987,0.036,14487,262.32
40988,0.148,19556,299.37
40989,0.043,15733,373.96
40990,0.229,7274,14.86
40991,0.187,11844,97.05
40992,0.233,14189,251.27
40993,0.085,18328,240.23
40994,0.041,11971,190.8
40995,0.039,6965,160.18
40996,0.004,13621,87.85
40997,0.023,7348,143.46
40998,0.012,18580,340.03
40999,0.085,18596,124.12
41000,0.142,1823,335.49
41001,0.035,8084,104.04
41002,0.021,13455,239.51
41003,0.119,11607,182.44
41004,0.036,17919,441.75
41005,0.052,15236,315.83
41006,0.033,17236,335.41
41007,0.055,11819,275.96
41008,0.05,12969,231.46
41009,0.038,18333,295.23
41010,0.25,12700,156.01
41011,0.024,1543,78.83
41012,0.04,4900,187.82
41013,0.038,12945,212.24
41014,0.292,5224,97.36
41015,0.035,14758,269.67
41016,0.035,15949,281.37
41017,0.018,3866,116.4
41018,0.036,19630,392.26
41019,0.024,19220,316.13
41020,0.193,9268,283.83
41021,0.23,13813,191.6
41022,0.04,17732,276.28
41023,0.087,5601,319.93
41024,0.195,13930,26.16
41025,0.035,5333,141.56
41026,0.036,6399,212.65
41027,0.3,18839,234.26
41028,0.005,19569,294.39
41029,0.049,8436,217.13
41030,0.031,15947,278.15
41031,0.287,14961,105.04
41032,0.047,9086,252.1
41033,0.023,4682,69.57
41034,0.029,19230,321.77
41035,0.093,2854,70.65
57773,0.039,6614,769.61
57774,0.281,12683,1856.37
57775,0.047,12687,1257.32
57776,0.052,4801,598.94
57777,0.021,9280,1114.78
57778,0.044,8376,952.28
57779,0.032,11148,1456.07
57780,0.026,15060,1484.07
57781,0.023,18283,2116.96
57782,0.033,2744,37.92
57783,0.044,19637,1895.45
57784,0.147,12853,490.15
57785,0.01,15663,2054.84
57786,0.109,2633,1880.57
57787,0.162,9149,1757.69
57788,0.049,15671,1362.56
57789,0.011,5701,713.79
57790,0.029,14349,1687.15
57791,0.044,2013,389.15
57792,0.022,17279,2346.14
57793,0.037,4299,886.36
57794,0.014,2506,444.73
57795,0.032,5803,635.72
57796,0.015,18361,2152.75
57797,0.026,19201,2268.02
57798,0.047,15760,2012.1
57799,0.028,11826,1495.67
57800,0.05,14821,1711.56
57801,0.299,14007,542.27
57802,0.037,16786,1525.92
57803,0.038,10140,1045.49
57804,0.042,7798,741.03
57805,0.03,17857,1616.46
57806,0.059,1567,303.51
57807,0.039,12624,1935.6
57808,0.038,13215,1825.34
57809,0.037,8966,1175.22
57810,0.032,19642,1922.63
57811,0.032,9120,1093.56
57812,0.043,17279,1631.21
57813,0.034,12336,1590.61
57814,0.027,5310,778.96
57815,0.208,14187,1396.98
57816,0.025,15089,2066.19
57817,0.04,2982,594.98
57818,0.087,2096,672.51
57819,0.208,14582,1174.65
57820,0.048,7497,758.63
57821,0.048,14545,1500.06
57822,0.241,12582,728.22
57823,0.225,16378,1549.91
57824,0.076,11864,1188.8
57825,0.209,19803,331.43
57826,0.041,5279,595.26
57827,0.104,18057,1916.46
57828,0.04,8312,933.55
57829,0.042,16440,1564.54
57830,0.248,3369,225.88
57831,0.039,17192,2197.55
57832,0.12,18450,905.74
57833,0.026,6432,725.18
57834,0.041,1687,398.15
57835,0.092,14175,1055.42
57836,0.016,1068,436.46
57837,0.034,11295,1164.81
57838,0.024,7774,1224.75
57839,0.045,17803,1738.49
60338,0.025,4314,757.08
60339,0.264,19595,430.18
60340,0.033,19755,908.05
60341,0.026,13927,568.4
60342,0.019,3681,597.22
60343,0.045,3806,642.78
60344,0.029,12961,1098.02
15889,0.062,6013,1588.74
15890,0.031,1084,545.11
15891,0.236,2935,1878.69
15892,0.12,10608,2411.34
15893,0.046,10262,1647.18
15894,0.038,12604,2001.68
15895,0.011,10713,1555.88
15896,0.023,18885,2143.96
15897,0.027,3473,641.67
15898,0.066,1735,240.95